# Postprocessed data provided by INSIVUMEH
year,month,ec.t.mean,ec.pp,ec.wind.dir,ec.wind.vel,sa.t.mean,sa.pp,sa.wind.dit,sa.wind.vel,date
2010,1,18.30,4.20,180.00,5.60,18.10,3.30,270.00,10.50,2010-01-15
2010,2,19.30,29.70,180.00,6.80,18.90,133.90,270.00,7.10,2010-02-15
2010,3,19.50,36.70,180.00,6.50,19.00,77.00,315.00,7.40,2010-03-15
2010,4,20.30,107.30,180.00,6.30,20.00,128.90,315.00,7.50,2010-04-15
2010,5,20.30,625.90,180.00,5.10,20.30,452.00,315.00,7.50,2010-05-15
2010,6,19.60,375.10,180.00,4.80,19.80,461.60,315.00,7.50,2010-06-15
2010,7,19.10,285.60,180.00,4.50,19.40,501.20,NA,6.70,2010-07-15
2010,8,19.20,382.50,180.00,4.60,19.20,434.50,270.00,5.40,2010-08-15
2010,9,18.80,522.20,180.00,4.90,18.80,441.10,270.00,6.80,2010-09-15
2010,10,18.90,64.70,180.00,5.30,18.80,18.80,315.00,8.20,2010-10-15
2010,11,18.40,19.00,180.00,6.20,17.80,62.60,315.00,7.80,2010-11-15
2010,12,17.30,0.00,180.00,6.60,16.50,0.00,NA,NA,2010-12-15
2011,1,18.40,0.00,180.00,6.50,17.60,0.00,NA,8.40,2011-01-15
2011,2,18.40,10.60,180.00,7.10,18.20,6.20,315.00,8.00,2011-02-15
2011,3,18.40,13.00,180.00,6.60,18.50,8.70,315.00,8.50,2011-03-15
2011,4,19.40,64.80,180.00,6.30,19.20,46.20,315.00,7.30,2011-04-15
2011,5,20.20,88.50,135.00,6.60,20.00,87.70,315.00,7.80,2011-05-15
2011,6,19.50,243.90,180.00,4.80,19.50,353.50,270.00,7.40,2011-06-15
2011,7,19.20,342.70,180.00,4.60,19.30,273.40,315.00,6.70,2011-07-15
2011,8,19.30,211.60,180.00,4.70,18.90,211.20,315.00,7.30,2011-08-15
2011,9,19.00,49.40,180.00,5.00,18.90,569.40,90.00,7.00,2011-09-15
2011,10,17.90,284.50,180.00,4.40,18.30,478.60,270.00,7.10,2011-10-15
2011,11,18.70,0.50,180.00,5.20,18.70,1.50,270.00,7.40,2011-11-15
2011,12,18.70,1.60,NA,6.40,18.60,0.30,270.00,9.30,2011-12-15
2012,1,17.90,0.00,180.00,6.10,18.40,0.00,315.00,9.10,2012-01-15
2012,2,18.60,7.50,180.00,4.90,18.60,6.20,315.00,10.30,2012-02-15
2012,3,18.70,1.70,180.00,6.50,18.80,8.70,315.00,10.30,2012-03-15
2012,4,19.30,38.60,180.00,4.90,19.00,46.20,315.00,7.10,2012-04-15
2012,5,19.40,253.60,180.00,3.70,19.60,87.70,315.00,7.20,2012-05-15
2012,6,19.10,290.60,180.00,3.50,19.20,353.50,315.00,7.20,2012-06-15
2012,7,19.90,49.40,180.00,4.00,20.20,273.40,315.00,8.50,2012-07-15
2012,8,18.90,213.00,135.00,5.40,19.40,211.20,315.00,7.00,2012-08-15
2012,9,18.80,144.00,180.00,3.70,18.90,569.40,315.00,7.50,2012-09-15
